Rank,Name,Initial,Year GDP
1,1,USA,193621.3
2,2,CHN,122427.76
3,3,JPN,48844.9
4,4,DEU,36518.7
5,5,FRA,25748.1
6,6,GBR,25650.5
7,7,IND,24390.1
8,8,BRA,20809.2
9,9,ITA,19211.4
10,10,CAN,16403.9
11,11,KOR,15297.4
12,12,RUS,14693.4
13,13,AUS,13901.5
14,14,ESP,13071.7
15,15,MEX,11424.5
16,16,IDN,10109.4
17,17,TUR,8412.06
18,18,NLD,8244.8
19,19,CHE,6806.45
20,20,SAU,6785.41
21,21,ARG,6198.72
22,22,TWN,5714.53
23,23,SWE,5418.89
24,24,POL,5099.55
25,25,BEL,4916.72
26,26,THA,4378.07
27,27,IRN,4276.66
28,28,AUT,4093.16
29,29,NGA,3948.18
30,30,NOR,3920.52
31,31,ARE,3786.56
32,32,ISR,3480.06
33,33,ZAF,3440.64
34,34,HKG,3341.04
35,35,IRL,3256.49
36,36,DNK,3241.46
37,37,PHL,3211.89
38,38,MYS,3098.58
39,39,COL,3074.75
40,40,SGP,3057.57
41,41,CHL,2632.06
42,42,FIN,2514.81
43,43,BGD,2500.23
44,44,VNM,2159.63
45,45,VEN,2153.07
46,46,PRT,2116.96
47,47,PER,2100.13
48,48,CZE,2096.52
49,49,GRC,2042.99
50,50,NZL,2008.37
