Rank,Name,Initial,Year GDP,Holiday Count,Long Week days
1,United States,US,186244.5,10,31
2,China,CN,112321.1,7,18
3,Japan,JP,49365.4,14,41
4,Germany,DE,34792.3,17,41
5,United Kingdom,GB,26291.9,13,36
6,France,FR,24664.7,15,36
7,India,IN,22637.9,0,0
8,Italy,IT,18507.4,12,27
9,Brazil,BR,17986.2,12,22
10,Canada,CA,15297.6,29,54
11,South Korea,KR,14110.4,0,0
12,Russia,RU,12831.6,13,25
13,Australia,AU,12616.5,20,40
14,Spain,ES,12326.0,35,71
15,Mexico,MX,10469.3,7,18
16,Indonesia,ID,9324.48,8,9
17,Turkey,TR,8633.9,7,14
18,Netherlands,NL,7775.48,10,19
19,Switzerland,CH,6690.38,17,40
20,Saudi Arabia,SA,6464.38,0,0
21,Argentina,AR,5447.35,16,30
22,Taiwan,TW,5295.75,0,0
23,Sweden,SE,5110.0,16,22
24,Poland,PL,4693.23,13,27
25,Belgium,BE,4665.59,11,27
26,Thailand,TH,4071.09,0,0
27,Nigeria,NG,4054.42,0,0
28,Iran,IR,4044.47,0,0
29,Austria,AT,3865.87,13,31
30,Norway,NO,3705.57,12,24
31,United Arab Emirates,AE,3487.43,0,0
32,Egypt,EG,3323.49,6,14
33,Hong Kong,HK,3209.12,0,0
34,Israel,IL,3177.48,0,0
35,Denmark,DK,3067.34,15,29
36,Philippines,PH,3049.06,0,0
37,Ireland,IE,3044.3,9,25
38,Singapore,SG,2969.66,0,0
39,Malaysia,MY,2965.36,0,0
40,South Africa,ZA,2949.0,12,26
41,Colombia,CO,2823.57,20,39
42,Pakistan,PK,2789.13,0,0
43,Chile,CL,2470.25,22,29
44,Finland,FI,2386.01,15,23
45,Venezuela,VE,2364.43,38,71
46,Bangladesh,BD,2283.88,0,0
47,Portugal,PT,2046.49,17,41
48,Vietnam,VN,2013.09,4,6
49,Czech Republic,CZ,1953.28,13,23
50,Peru,PE,1952.99,13,29
